journal	abbreviation	impact_factor
Journal of Chinese Literature and Culture	J CHIN LIT CULT	0.2
Journal of Chinese Military History	J CHINESE MIL HIST	0.3
Journal of Chinese Overseas	J CHIN OVERSEAS	0.3
JOURNAL OF CHINESE PHILOSOPHY	J CHINESE PHILOS	0.5
Journal of Chinese Political Science	J CHIN POLIT SCI	5.4
Journal of Chinese Religions	J CHINESE RELIG	0.8
Journal of Chinese Sociology	J CHINESE SOCIOL	2.7
Journal of Chinese Writing Systems	J CHINESE WRIT SYST	0.3
Journal of Chiropractic Education	J CHIROPR EDUC	0.6
Journal of Chiropractic Medicine	J CHIROPR MED	1.4
Journal of Choice Modelling	J CHOICE MODEL	2.8
Journal of Christian Nursing	J CHRIST NURS	0.4
JOURNAL OF CHROMATOGRAPHIC SCIENCE	J CHROMATOGR SCI	1.8
JOURNAL OF CHROMATOGRAPHY A	J CHROMATOGR A	4
JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES	J CHROMATOGR B	2.5
Journal of Chromatography Open	J CHROMATOGR OPEN	3.6
JOURNAL OF CHURCH AND STATE	J CHURCH STATE	0.3
JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS	J CIRCUIT SYST COMP	1
Journal of Circular Economy	J CIRC ECON	3.1
Journal of Civil Engineering and Management	J CIV ENG MANAG	3
Journal of Civil Engineering Education	J CIV ENG EDUC	2.2
Journal of Civil Society	J CIV SOC	1.1
Journal of Civil Structural Health Monitoring	J CIV STRUCT HEALTH	4.9
Journal of Classical Sociology	J CLASS SOCIOL	0.5
Journal of Classics Teaching	J CLASS TEACH	0.5
JOURNAL OF CLASSIFICATION	J CLASSIF	1.8
Journal of Cleaner Production	J CLEAN PROD	10.7
JOURNAL OF CLIMATE	J CLIMATE	4.3
Journal of Climate Change	J CLIM CHANG	0.7
Journal of Climate Change and Health	J CLIM CHANGE HEALTH	4.5
Journal of Clinical and Diagnostic Research	J CLIN DIAGN RES	0.2
Journal of Clinical and Experimental Hematopathology	J CLIN EXP HEMATOP	1.4
Journal of Clinical and Experimental Hepatology	J CLIN EXP HEPATOL	3.4
JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY	J CLIN EXP NEUROPSYC	2
Journal of Clinical and Translational Endocrinology	J CLIN TRANSL ENDOCR	4.9
Journal of Clinical and Translational Hepatology	J CLIN TRANSL HEPATO	6
Journal of Clinical and Translational Science	J CLIN TRANSL SCI	2.7
Journal of Clinical Anesthesia	J CLIN ANESTH	6
JOURNAL OF CLINICAL APHERESIS	J CLIN APHERESIS	2.8
JOURNAL OF CLINICAL BIOCHEMISTRY AND NUTRITION	J CLIN BIOCHEM NUTR	1.9
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY	J CLIN CHILD ADOLESC	5.2
JOURNAL OF CLINICAL DENSITOMETRY	J CLIN DENSITOM	2.5
JOURNAL OF CLINICAL ENDOCRINOLOGY & METABOLISM	J CLIN ENDOCR METAB	5.4
JOURNAL OF CLINICAL EPIDEMIOLOGY	J CLIN EPIDEMIOL	5.8
JOURNAL OF CLINICAL GASTROENTEROLOGY	J CLIN GASTROENTEROL	2.7
Journal of Clinical Hypertension	J CLIN HYPERTENS	2.9
Journal of Clinical Imaging Science	J CLIN IMAG SCI	1.1
JOURNAL OF CLINICAL IMMUNOLOGY	J CLIN IMMUNOL	4.1
JOURNAL OF CLINICAL INVESTIGATION	J CLIN INVEST	14.3
JOURNAL OF CLINICAL LABORATORY ANALYSIS	J CLIN LAB ANAL	2.5
Journal of Clinical Lipidology	J CLIN LIPIDOL	6.9
Journal of Clinical Medicine	J CLIN MED	3.3
Journal of Clinical Medicine Research-Canada	J CLIN MED RES-CAN	2.2
JOURNAL OF CLINICAL MICROBIOLOGY	J CLIN MICROBIOL	5.9
JOURNAL OF CLINICAL MONITORING AND COMPUTING	J CLIN MONIT COMPUT	2.6
Journal of Clinical Neonatology	J CLIN NEONATOL	0.4
Journal of Clinical Neurology	J CLIN NEUROL	3.6
JOURNAL OF CLINICAL NEUROPHYSIOLOGY	J CLIN NEUROPHYSIOL	1.8
JOURNAL OF CLINICAL NEUROSCIENCE	J CLIN NEUROSCI	1.9
JOURNAL OF CLINICAL NURSING	J CLIN NURS	3.6
Journal of Clinical Obstetrics and Gynecology	J CLIN OBSTET GYNECO	0.3
JOURNAL OF CLINICAL ONCOLOGY	J CLIN ONCOL	44.7
JOURNAL OF CLINICAL PATHOLOGY	J CLIN PATHOL	2.6
Journal of Clinical Pediatric Dentistry	J CLIN PEDIATR DENT	2.3
JOURNAL OF CLINICAL PERIODONTOLOGY	J CLIN PERIODONTOL	8.3
JOURNAL OF CLINICAL PHARMACOLOGY	J CLIN PHARMACOL	2.2
JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS	J CLIN PHARM THER	1.1
Journal of Clinical Practice and Research	J CLIN PRACT RES	0.4
JOURNAL OF CLINICAL PSYCHIATRY	J CLIN PSYCHIAT	4.2
JOURNAL OF CLINICAL PSYCHOLOGY	J CLIN PSYCHOL	2.7
JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS	J CLIN PSYCHOL MED S	1.6
JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY	J CLIN PSYCHOPHARM	2.9
Journal of Clinical Research in Pediatric Endocrinology	J CLIN RES PEDIATR E	1.9
Journal of Clinical Sciences	J CLIN SCI	0.3
Journal of Clinical Sleep Medicine	J CLIN SLEEP MED	3.4
Journal of Clinical Sport Psychology	J CLIN SPORT PSYCHOL	1.5
Journal of Clinical Tuberculosis and Other Mycobacterial Diseases	J CLIN TUBER OTH MYC	2.3
JOURNAL OF CLINICAL ULTRASOUND	J CLIN ULTRASOUND	1.3
Journal of Clinical Urology	J CLIN UROL	1.1
JOURNAL OF CLINICAL VIROLOGY	J CLIN VIROL	3.7
Journal of Clinical Virology Plus	J CLIN VIROL PLUS	1.1
Journal of Cloud Computing-Advances Systems and Applications	J CLOUD COMPUT-ADV S	5.5
JOURNAL OF CLUSTER SCIENCE	J CLUST SCI	4.1
Journal of Co-operative Organization and Management	J CO-OP ORGAN MANAG	1.8
Journal of CO2 Utilization	J CO2 UTIL	8.6
JOURNAL OF COASTAL CONSERVATION	J COAST CONSERV	2.2
Journal of Coatings Technology and Research	J COAT TECHNOL RES	3.4
Journal of Cognition	J COGNITION	3.1
Journal of Cognition and Culture	J COGN CULT	0.5
Journal of Cognition and Development	J COGN DEV	2.6
Journal of Cognitive Engineering and Decision Making	J COGN ENG DECIS MAK	1.8
Journal of Cognitive Enhancement	J COGN ENHANCE	1.2
JOURNAL OF COGNITIVE NEUROSCIENCE	J COGNITIVE NEUROSCI	3
Journal of Cognitive Psychology	J COGN PSYCHOL	1.5
Journal of Cognitive Psychotherapy	J COGN PSYCHOTHER	0.8
Journal of Cognitive Science	J COGN SCI	0.2
JOURNAL OF COLD REGIONS ENGINEERING	J COLD REG ENG	1.9
Journal of Cold War Studies	J COLD WAR STUD	0.6
Journal of College of Sharia and Islamic Studies	J COLL SHAR ISL STUD	0.4
JOURNAL OF COLLEGE STUDENT DEVELOPMENT	J COLL STUDENT DEV	1.7
Journal of College Student Mental Health	J COLL STUD MENT HEA	2
Journal of College Student Retention-Research Theory & Practice	J COLL STUD RETENT-R	1.2
JOURNAL OF COLLOID AND INTERFACE SCIENCE	J COLLOID INTERF SCI	9.6
Journal of Combinatorial Algebra	J COMB ALGEBRA	1.3
JOURNAL OF COMBINATORIAL DESIGNS	J COMB DES	0.8
JOURNAL OF COMBINATORIAL OPTIMIZATION	J COMB OPTIM	0.8
JOURNAL OF COMBINATORIAL THEORY SERIES A	J COMB THEORY A	1.7
JOURNAL OF COMBINATORIAL THEORY SERIES B	J COMB THEORY B	1.3
Journal of Combinatorics	J COMB	0.4
Journal of Combustion	J COMBUST	1.3
Journal of Commodity Markets	J COMMOD MARK	5.2
JOURNAL OF COMMONWEALTH LITERATURE	J COMMONW LIT	0.4
JOURNAL OF COMMUNICATION	J COMMUN	5.3
JOURNAL OF COMMUNICATION DISORDERS	J COMMUN DISORD	2.2
Journal of Communication in Healthcare	J COMMUN HEALTHC	2
Journal of Communication Inquiry	J COMMUN INQ	1.1
Journal of Communication Management	J COMMUN MANAG	3.4
JOURNAL OF COMMUNICATIONS AND NETWORKS	J COMMUN NETW-S KOR	3
Journal of Communications Software and Systems	J COMMUN SOFTW SYS	0.7
JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS	J COMMUN TECHNOL EL+	0.4
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY	J COMMUNITY APPL SOC	1.8
Journal of Community Genetics	J COMMUN GENET	1.8
JOURNAL OF COMMUNITY HEALTH	J COMMUN HEALTH	2.1
Journal of Community Health Nursing	J COMMUN HEALTH NURS	1.9
Journal of Community Hospital Internal Medicine Perspectives	J COMM HOSP INT MED	0.6
Journal of Community Practice	J COMMUNITY PRACT	1.5
JOURNAL OF COMMUNITY PSYCHOLOGY	J COMMUNITY PSYCHOL	2.2
Journal of Commutative Algebra	J COMMUT ALGEBR	0.5
JOURNAL OF COMPARATIVE ECONOMICS	J COMP ECON	4.1
Journal of Comparative Effectiveness Research	J COMP EFFECT RES	2.8
JOURNAL OF COMPARATIVE FAMILY STUDIES	J COMP FAM STUD	0.8
Journal of Comparative Germanic Linguistics	J COMP GER LINGUIST	0.2
JOURNAL OF COMPARATIVE NEUROLOGY	J COMP NEUROL	2.3
JOURNAL OF COMPARATIVE PATHOLOGY	J COMP PATHOL	1.2
JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY	J COMP PHYSIOL A	2.3
Journal of Comparative Physiology B-Biochemical Systems and Environmental Physiology	J COMP PHYSIOL B	2
Journal of Comparative Policy Analysis	J COMP POLICY ANAL	3.7
Journal of Comparative Politics	J COMP POLIT	0.9
JOURNAL OF COMPARATIVE PSYCHOLOGY	J COMP PSYCHOL	1.1
Journal of Competition Law & Economics	J COMPET LAW ECON	1.5
Journal of Competitiveness	J COMPETITIVENESS	2.4
Journal of Complex Networks	J COMPLEX NETW	1.9
JOURNAL OF COMPLEXITY	J COMPLEXITY	1.7
JOURNAL OF COMPOSITE MATERIALS	J COMPOS MATER	2.9
JOURNAL OF COMPOSITES FOR CONSTRUCTION	J COMPOS CONSTR	4
Journal of Composites Science	J COMPOS SCI	4.6
JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS	J COMPUT APPL MATH	2.4
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS	J COMPUT GRAPH STAT	1.6
Journal of Computational and Nonlinear Dynamics	J COMPUT NONLIN DYN	2.1
Journal of Computational and Theoretical Transport	J COMPUT THEOR TRANS	1.7
Journal of Computational Applied Mechanics	J COMPUT APPL MECH	2.9
JOURNAL OF COMPUTATIONAL BIOLOGY	J COMPUT BIOL	1.3
Journal of Computational Biophysics and Chemistry	J COMPUT BIOPHYS CHE	2.1
JOURNAL OF COMPUTATIONAL CHEMISTRY	J COMPUT CHEM	2.9
Journal of Computational Design and Engineering	J COMPUT DES ENG	6.8
Journal of Computational Dynamics	J COMPUT DYNAM	0.7
Journal of Computational Electronics	J COMPUT ELECTRON	2.8
Journal of Computational Finance	J COMPUT FINANC	0.7
Journal of Computational Geometry	J COMPUT GEOM	0.6
JOURNAL OF COMPUTATIONAL MATHEMATICS	J COMPUT MATH	1.2
JOURNAL OF COMPUTATIONAL NEUROSCIENCE	J COMPUT NEUROSCI	1.4
JOURNAL OF COMPUTATIONAL PHYSICS	J COMPUT PHYS	3.9
Journal of Computational Science	J COMPUT SCI-NETH	4
Journal of Computational Social Science	J COMPUT SOC SCI	2.6
JOURNAL OF COMPUTER AND SYSTEM SCIENCES	J COMPUT SYST SCI	1.4
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL	J COMPUT SYS SC INT+	0.6
JOURNAL OF COMPUTER ASSISTED LEARNING	J COMPUT ASSIST LEAR	5.7
JOURNAL OF COMPUTER ASSISTED TOMOGRAPHY	J COMPUT ASSIST TOMO	1.4
Journal of Computer Chemistry-Japan	J COMPUT CHEM-JPN	0.3
JOURNAL OF COMPUTER INFORMATION SYSTEMS	J COMPUT INFORM SYST	6.6
Journal of Computer Languages	J COMPUT LANG	2
Journal of Computer Networks and Communications	J COMPUT NETW COMMUN	2.4
Journal of Computer Science & Technology	J COMPUT SC TECH-ARG	0.6
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY	J COMPUT SCI TECH-CH	1.8
Journal of Computer Security	J COMPUT SECUR	1.3
Journal of Computer Virology and Hacking Techniques	J COMPUT VIROL HACKI	2.7
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN	J COMPUT AID MOL DES	3
Journal of Computer-Mediated Communication	J COMPUT-MEDIAT COMM	7.4
Journal of Computers in Education	J COMPUT EDUC	6.6
JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING	J COMPUT INF SCI ENG	3.7
JOURNAL OF COMPUTING IN CIVIL ENGINEERING	J COMPUT CIVIL ENG	5.8
Journal of Computing in Higher Education	J COMPUT HIGH EDUC	4.3
JOURNAL OF CONCHOLOGY	J CONCHOL	1.1
Journal of Condensed Matter Nuclear Science	J CONDENS MATTER NUC	0.3
JOURNAL OF CONFLICT & SECURITY LAW	J CONFL SECUR LAW	1.2
Journal of Conflict Archaeology	J CONFL ARCHAEOL	0.8
JOURNAL OF CONFLICT RESOLUTION	J CONFLICT RESOLUT	2.5
Journal of Confucian Philosophy and Culture	J CONFUCIAN PHILOS C	0.6
JOURNAL OF CONSCIOUSNESS STUDIES	J CONSCIOUSNESS STUD	1
Journal of Conservation and Museum Studies	J CONSERV MUS STUD	2.5
JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT	J CONSTR ENG M	5.5
Journal of Construction Engineering Management & Innovation	J CONSTR ENG MAN INN	0.7
Journal of Construction in Developing Countries	J CONSTR DEV CTRIES	0.9
Journal of Constructional Steel Research	J CONSTR STEEL RES	4.6
JOURNAL OF CONSTRUCTIVIST PSYCHOLOGY	J CONSTR PSYCHOL	1
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY	J CONSULT CLIN PSYCH	6
JOURNAL OF CONSUMER AFFAIRS	J CONSUM AFF	3.4
Journal of Consumer Behaviour	J CONSUM BEHAV	7
Journal of Consumer Culture	J CONSUM CULT	1.9
JOURNAL OF CONSUMER HEALTH ON THE INTERNET	J CONS HLTH INTERNET	0.8
JOURNAL OF CONSUMER MARKETING	J CONSUM MARK	4.8
JOURNAL OF CONSUMER POLICY	J CONSUM POLICY	2.3
Journal of Consumer Protection and Food Safety	J CONSUM PROT FOOD S	2.2
JOURNAL OF CONSUMER PSYCHOLOGY	J CONSUM PSYCHOL	6.9
JOURNAL OF CONSUMER RESEARCH	J CONSUM RES	8.1
Journal of Consumer Sciences	J CONSUM SCI	2.3
JOURNAL OF CONTAMINANT HYDROLOGY	J CONTAM HYDROL	5.5
Journal of Contemporary Accounting & Economics	J CONTEMP ACCOUNT EC	3.3
Journal of Contemporary African Studies	J CONTEMP AFR STUD	1.1
Journal of Contemporary Archaeology	J CONTEMP ARCHAEOL	0.3
JOURNAL OF CONTEMPORARY ASIA	J CONTEMP ASIA	2.8
Journal of Contemporary Brachytherapy	J CONTEMP BRACHYTHER	1.5
Journal of Contemporary China	J CONTEMP CHINA	3.1
Journal of Contemporary Chinese Art	J CONTEMP CHIN ART	0.2
Journal of Contemporary Criminal Justice	J CONTEMP CRIM JUST	1.4
Journal of Contemporary Drama in English	J CONTEMP DRAMA ENGL	0.3
Journal of Contemporary East Asia Studies	J CONTEM E ASIA STUD	2
JOURNAL OF CONTEMPORARY ETHNOGRAPHY	J CONTEMP ETHNOGR	1.3
Journal of Contemporary European Studies	J CONTEMP EUR STUD	1.8
JOURNAL OF CONTEMPORARY HISTORY	J CONTEMP HIST	0.7
Journal of Contemporary Mathematical Analysis-Armenian Academy of Sciences	J CONTEMP MATH ANAL+	0.3
Journal of Contemporary Medical Sciences	J CONTEMP MED SCI	0.4
Journal of Contemporary Physics-Armenian Academy of Sciences	J CONTEMP PHYS-ARME+	0.5
JOURNAL OF CONTEMPORARY PSYCHOTHERAPY	J CONTEMP PSYCHOTHER	1.7
Journal of Contemporary Religion	J CONTEMP RELIG	0.5
Journal of Contemporary Urban Affairs	J CONTEMP URBAN AFF	1.8
Journal of Contemporary Water Research & Education	J CONTEMP WAT RES ED	1.1
Journal of Contextual Behavioral Science	J CONTEXT BEHAV SCI	3.1
Journal of Contingencies and Crisis Management	J CONTING CRISIS MAN	2.5
JOURNAL OF CONTINUING EDUCATION IN NURSING	J CONTIN EDUC NURS	1.2
JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS	J CONTIN EDUC HEALTH	1.8
Journal of Continuing Higher Education	J CONTIN HIGH EDUC	0.9
Journal of Control and Decision	J CONTROL DECIS	2.3
Journal of Control Automation and Electrical Systems	J CONTROL AUTOM ELEC	1.4
Journal of Control Science and Engineering	J CONTROL SCI ENG	0.5
JOURNAL OF CONTROLLED RELEASE	J CONTROL RELEASE	12.4
Journal of Convention & Event Tourism	J CONV EVENT TOUR	1.3
JOURNAL OF CONVEX ANALYSIS	J CONVEX ANAL	0.8
JOURNAL OF COORDINATION CHEMISTRY	J COORD CHEM	1.6
Journal of Corporate Accounting and Finance	J CORP ACCOUNT FINAN	1.3
JOURNAL OF CORPORATE FINANCE	J CORP FINANC	6.9
Journal of Corporate Law Studies	J CORP LAW STUD	2.4
Journal of Corporate Real Estate	J CORP REAL ESTATE	1.6
Journal of Correctional Health Care	J CORRECT HEALTH CAR	0.8
Journal of Cosmetic and Laser Therapy	J COSMET LASER THER	1
Journal of Cosmetic Dermatology	J COSMET DERMATOL-US	3.5
JOURNAL OF COSMETIC SCIENCE	J COSMET SCI	0.3
Journal of Cosmology and Astroparticle Physics	J COSMOL ASTROPART P	6.4
Journal of Cotton Research	J COTTON RES	3.6
Journal of Cotton Science	J COTTON SCI	0.6
JOURNAL OF COUNSELING AND DEVELOPMENT	J COUNS DEV	2.1
JOURNAL OF COUNSELING PSYCHOLOGY	J COUNS PSYCHOL	3.5
Journal of Couple & Relationship Therapy-Innovations in Clinical and Educational Interventions	J COUPLE RELATSH THE	0.8
JOURNAL OF CRANIO-MAXILLOFACIAL SURGERY	J CRANIO MAXILL SURG	2.1
JOURNAL OF CRANIOFACIAL SURGERY	J CRANIOFAC SURG	1.1
Journal of Craniovertebral Junction and Spine	J CRANIOVERTEBRAL JU	1
Journal of Creating Value	J CREAT VALUE	1.4
JOURNAL OF CREATIVE BEHAVIOR	J CREATIVE BEHAV	4.1
Journal of Creative Communications	J CREAT COMMUN	1.3
Journal of Creativity in Mental Health	J CREAT MENT HEALTH	0.8
Journal of Credit Risk	J CREDIT RISK	0.8
JOURNAL OF CRIME & JUSTICE	J CRIME JUSTICE	1.1
JOURNAL OF CRIMINAL JUSTICE	J CRIM JUST	2.3
JOURNAL OF CRIMINAL JUSTICE EDUCATION	J CRIM JUSTICE EDUC	1.1
Journal of Criminal Law	J CRIM LAW	0.8
JOURNAL OF CRIMINAL LAW & CRIMINOLOGY	J CRIM LAW CRIM	1.2
Journal of Criminal Psychology	J CRIM PSYCHOL	2
Journal of Criminological Research Policy and Practice	J CRIMINOL RES POLIC	0.9
Journal of Criminology	J CRIMINOL-UK	2.2
Journal of Critical & Intensive Care	J CRIT INTENS CARE	0.3
JOURNAL OF CRITICAL CARE	J CRIT CARE	3.5
Journal of Critical Care Medicine	J CRIT CARE MED	1.2
Journal of Critical Realism	J CRIT REALISM	2.4
Journal of Crohns & Colitis	J CROHNS COLITIS	10.3
Journal of Crop Health	J CROP HEALTH	2.8
Journal of Crop Improvement	J CROP IMPROV	1
Journal of Crop Science and Biotechnology	J CROP SCI BIOTECHN	1.7
Journal of Cross-Cultural Gerontology	J CROSS-CULT GERONTO	1
JOURNAL OF CROSS-CULTURAL PSYCHOLOGY	J CROSS CULT PSYCHOL	3.6
JOURNAL OF CRUSTACEAN BIOLOGY	J CRUSTACEAN BIOL	1.4
Journal of Cryptographic Engineering	J CRYPTOGR ENG	1.7
JOURNAL OF CRYPTOLOGY	J CRYPTOL	2.1
JOURNAL OF CRYSTAL GROWTH	J CRYST GROWTH	2.5
Journal of Culinary Science & Technology	J CULIN SCI TECHNOL	1.3
Journal of Cultural Cognitive Science	J CULT COGN SCI	2
Journal of Cultural Economics	J CULT ECON	1.8
Journal of Cultural Economy	J CULT ECON-UK	1.8
Journal of Cultural Geography	J CULT GEOGR	0.8
JOURNAL OF CULTURAL HERITAGE	J CULT HERIT	3.7
Journal of Cultural Heritage Management and Sustainable Development	J CULT HERIT MANAG S	1.3
Journal of Curatorial Studies	J CURATOR STUD	0.1
Journal of Current Chinese Affairs	J CURR CHINESE AFF	2.6
Journal of Current Issues and Research In Advertising	J CURR ISS RES AD	4.4
Journal of Current Southeast Asian Affairs	J CURR SE ASIAN AFF	1.7
JOURNAL OF CURRICULUM STUDIES	J CURRICULUM STUD	2.7
Journal of Cutaneous Immunology and Allergy	J CUTAN IMMUNOL ALL	0.9
JOURNAL OF CUTANEOUS MEDICINE AND SURGERY	J CUTAN MED SURG	2.8
JOURNAL OF CUTANEOUS PATHOLOGY	J CUTAN PATHOL	1.2
Journal of Cybersecurity	J CYBERSECURITY	4.4
Journal of Cybersecurity and Privacy	J CYBERSECUR PRIV	3.8
Journal of Cycling and Micromobility Research	J CYCL MICROMOBIL R	3.6
Journal of Cystic Fibrosis	J CYST FIBROS	5.5
Journal of Cytology	J CYTOL	0.7
JOURNAL OF DAIRY RESEARCH	J DAIRY RES	1.6
JOURNAL OF DAIRY SCIENCE	J DAIRY SCI	4.7
Journal of Dance & Somatic Practices	J DANCE SOMAT PRACT	0.1
Journal of Dance Medicine & Science	J DANCE MED SCI	1.5
Journal of Data and Information Science	J DATA INFO SCI	2.7
Journal of Data Information and Management	J DATA INFO MANAG	1.4
JOURNAL OF DATABASE MANAGEMENT	J DATABASE MANAGE	1.1
Journal of Daylighting	J DAYLIGHT	3.6
Journal of Deaf Studies and Deaf Education	J DEAF STUD DEAF EDU	2.2
Journal of Decision Systems	J DECIS SYST	4.7
Journal of Defense Modeling and Simulation-Applications Methodology Technology-JDMS	J DEF MODEL SIMUL-AP	1.3
JOURNAL OF DEMOCRACY	J DEMOCR	5.9
Journal of Demographic Economics	J DEMOGR ECON	1.1
Journal of Dental Anesthesia and Pain Medicine	J DENT ANESTH PAIN M	1.8
JOURNAL OF DENTAL EDUCATION	J DENT EDUC	1.7
Journal of Dental Materials and Techniques	J DENT MATER TECH	0.3
JOURNAL OF DENTAL RESEARCH	J DENT RES	6.6
Journal of Dental Sciences	J DENT SCI	3.6
JOURNAL OF DENTISTRY	J DENT	5.8
JOURNAL OF DENTISTRY FOR CHILDREN	J DENT CHILD	0.6
Journal of Dentistry Indonesia	J DENT INDONES	0.2
Journal of Derivatives	J DERIV	0.2
JOURNAL OF DERMATOLOGICAL SCIENCE	J DERMATOL SCI	4.6
JOURNAL OF DERMATOLOGICAL TREATMENT	J DERMATOL TREAT	4.3
JOURNAL OF DERMATOLOGY	J DERMATOL	2.3
Journal of Dermatology & Dermatologic Surgery-JDDS	J DERMATOL DERMATOL	0.2
Journal of Design History	J DES HIST	0.3
Journal of Destination Marketing & Management	J DESTIN MARK MANAGE	8
Journal of Developing Societies	J DEV SOC	0.8
JOURNAL OF DEVELOPMENT ECONOMICS	J DEV ECON	5
Journal of Development Effectiveness	J DEV EFFECT	1.2
JOURNAL OF DEVELOPMENT STUDIES	J DEV STUD	1.8
JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS	J DEV BEHAV PEDIATR	1.5
Journal of Developmental and Life-Course Criminology	J DEV LIFE-COURSE CR	1.5
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES	J DEV PHYS DISABIL	1.6
Journal of Developmental Biology	J DEV BIOL	2.4
Journal of Developmental Entrepreneurship	J DEV ENTREP	1.4
Journal of Developmental Origins of Health and Disease	J DEV ORIG HLTH DIS	1.6
JOURNAL OF DHARMA	J DHARMA	0.2
Journal of Diabetes	J DIABETES	5.9
JOURNAL OF DIABETES AND ITS COMPLICATIONS	J DIABETES COMPLICAT	3.2
Journal of Diabetes and Metabolic Disorders	J DIABETES METAB DIS	2.1
Journal of Diabetes Investigation	J DIABETES INVEST	3.6
Journal of Diabetes Research	J DIABETES RES	3.5
Journal of Diabetes Science and Technology	J DIABETES SCI TECHN	4.9
Journal of Diabetology	J DIABETOL	0.4
JOURNAL OF DIAGNOSTIC MEDICAL SONOGRAPHY	J DIAGN MED SONOG	0.4
Journal of Dietary Supplements	J DIET SUPPL	3.1
JOURNAL OF DIFFERENCE EQUATIONS AND APPLICATIONS	J DIFFER EQU APPL	1.1
Journal of Differential Equations	J DIFFER EQUATIONS	2.3
JOURNAL OF DIFFERENTIAL GEOMETRY	J DIFFER GEOM	1.7
Journal of Digestive Diseases	J DIGEST DIS	2.7
Journal of Digestive Endoscopy	J DIG ENDOSC	0.5
JOURNAL OF DIGITAL IMAGING	J DIGIT IMAGING	5.1
Journal of Digital Media & Policy	J DIGIT MEDIA POLICY	0.9
Journal of Disability Policy Studies	J DISABIL POLICY STU	0.9
Journal of Disaster Research	J DISASTER RES	0.7
JOURNAL OF DISCRETE MATHEMATICAL SCIENCES & CRYPTOGRAPHY	J DISCRET MATH SCI C	1.2
JOURNAL OF DISPERSION SCIENCE AND TECHNOLOGY	J DISPER SCI TECHNOL	2.2
Journal of Distribution Science	J DISTRIB SCI	0.5
Journal of Diversity in Higher Education	J DIVERS HIGH EDUC	2.2
Journal of Doctoral Nursing Practice	J DOCTORAL NURS PRAC	0.7
JOURNAL OF DOCUMENTATION	J DOC	1.8
JOURNAL OF DRUG DELIVERY SCIENCE AND TECHNOLOGY	J DRUG DELIV SCI TEC	5.2
JOURNAL OF DRUG EDUCATION	J DRUG EDUC	0.7
JOURNAL OF DRUG ISSUES	J DRUG ISSUES	1.5
JOURNAL OF DRUG TARGETING	J DRUG TARGET	4.7
Journal of Drugs in Dermatology	J DRUGS DERMATOL	2.2
Journal of Dual Diagnosis	J DUAL DIAGN	1.5
Journal of Dynamic Behavior of Materials	J DYNAM BEHAV MAT	1.9
JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME	J DYN SYST-T ASME	1.2
JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS	J DYN CONTROL SYST	1.2
Journal of Dynamical Systems and Geometric Theories	J DYN SYST GEOM THE	0.5
Journal of Dynamics and Differential Equations	J DYN DIFFER EQU	1.1
Journal of Dynamics and Games	J DYN GAMES	1.2
Journal of E-Learning and Knowledge Society	J E-LEARN KNOWL SOC	0.9
JOURNAL OF EARLY ADOLESCENCE	J EARLY ADOLESCENCE	1.9
Journal of Early Childhood Literacy	J EARLY CHILD LIT	1.6
Journal of Early Childhood Research	J EARLY CHILD RES	1.5
Journal of Early Childhood Teacher Education	J EARLY CHILD TEACH	1.3
Journal of Early Christian History	J EARLY CHRIST HIST	0.4
JOURNAL OF EARLY CHRISTIAN STUDIES	J EARLY CHRISTIAN ST	0.6
JOURNAL OF EARLY INTERVENTION	J EARLY INTERVENTION	1.8
Journal of Early Modern Christianity	J EARLY MOD CHRIST	0.1
Journal of Early Modern History	J EARLY MOD HIST	0.8
Journal of Early Modern Studies	J EARLY MOD STUD	0.2
Journal of Early Modern Studies-Romania	J EARLY MOD STUD-ROM	0.1
